HUMAN_ID,gender,year,date,age,region,uniform_top,uniform_bottom,002. height,032. neck_circumference ,041. chest_circumference ,045. waist_circumference ,048. hip_circumference ,084. sittingheight ,122. foot ,125. weight 
20_M_1956,남,2020,1206,25,서울/경기/강원,,90M,1746,389,1062,822,962,935,266,78
20_F_1957,여,2020,1207,29,서울/경기/강원,85XL,80F,1547,327,905,794,945,831,230,59.8
20_F_1958,여,2020,1207,35,서울/경기/강원,80L,80F,1638,317,871,755,987,887,233,60.8
20_F_1959,여,2020,1207,31,서울/경기/강원,80L,85F,1606,316,863,693,994,880,235,59
20_F_1960,여,2020,1207,38,서울/경기/강원,75M,75F,1577,297,786,652,885,868,229,48.6
20_F_1961,여,2020,1207,43,서울/경기/강원,80L,85F,1554,312,881,770,948,860,219,56.5
20_F_1962,여,2020,1207,31,서울/경기/강원,85XL,85F,1703,334,862,762,995,931,257,64.9
20_F_1963,여,2020,1207,42,서울/경기/강원,80L,75F,1662,307,856,740,882,870,244,50.3
20_F_1964,여,2020,1207,36,서울/경기/강원,80L,75F,1609,295,860,705,861,877,221,51.4
20_F_1965,여,2020,1207,35,서울/경기/강원,85XL,85F,1549,335,888,799,953,844,224,59.4
20_F_1966,여,2020,1207,30,서울/경기/강원,80L,75F,1590,312,830,713,930,864,226,51.6
20_F_1967,여,2020,1207,36,서울/경기/강원,80L,75F,1583,315,840,661,905,894,226,48.6
20_F_1968,여,2020,1207,33,서울/경기/강원,902XL,85F,1618,330,985,810,1047,850,231,69.2
20_F_1969,여,2020,1207,28,서울/경기/강원,85XL,85F,1524,330,902,817,992,854,225,62.5
20_F_1970,여,2020,1207,34,서울/경기/강원,80L,80F,1641,328,881,756,930,899,226,54.4
20_F_1971,여,2020,1207,37,서울/경기/강원,85XL,85F,1665,317,861,752,987,896,238,64.4
20_F_1972,여,2020,1207,38,서울/경기/강원,85XL,75F,1614,334,921,710,920,884,237,55.3
20_F_1973,여,2020,1207,34,서울/경기/강원,80L,75F,1585,331,830,728,954,889,224,54.3
20_F_1974,여,2020,1208,35,서울/경기/강원,80L,80F,1627,325,821,726,952,897,248,55.9
20_F_1975,여,2020,1208,36,서울/경기/강원,75M,70F,1656,320,809,664,853,885,247,51.1
20_F_1976,여,2020,1208,40,서울/경기/강원,902XL,90F,1567,348,959,855,1006,852,234,69.2
20_F_1977,여,2020,1208,31,서울/경기/강원,902XL,85F,1645,325,928,800,1033,888,228,67.9
20_F_1978,여,2020,1208,37,서울/경기/강원,80L,80F,1641,327,893,765,992,891,229,59.6
20_F_1979,여,2020,1208,27,서울/경기/강원,75M,70F,1575,310,818,638,913,882,225,47
20_F_1980,여,2020,1208,26,서울/경기/강원,80L,80F,1672,314,875,778,979,887,249,57.7
20_F_1981,여,2020,1208,30,서울/경기/강원,953XL,95F,1585,370,1083,938,1069,863,231,81.1
20_F_1982,여,2020,1208,30,서울/경기/강원,80L,75F,1581,323,861,683,984,862,226,55.5
20_F_1983,여,2020,1208,32,서울/경기/강원,85XL,80F,1522,314,864,736,922,840,224,52.8
20_F_1984,여,2020,1208,32,서울/경기/강원,80L,75F,1649,300,806,717,887,887,240,49.5
20_F_1985,여,2020,1208,32,서울/경기/강원,75M,75F,1530,320,812,694,902,845,211,49
20_F_1986,여,2020,1208,39,서울/경기/강원,80L,75F,1554,310,850,715,952,853,224,54.9
20_F_1987,여,2020,1208,41,서울/경기/강원,80L,70F,1654,306,803,651,894,894,240,50.8
20_F_1988,여,2020,1208,32,서울/경기/강원,80L,75F,1697,299,799,693,960,920,250,58.2
20_F_1989,여,2020,1208,34,서울/경기/강원,85XL,80F,1690,332,831,738,939,923,240,59
20_F_1990,여,2020,1208,39,서울/경기/강원,85XL,85F,1514,325,930,817,985,822,218,60.5
20_F_1991,여,2020,1208,39,서울/경기/강원,80L,75F,1525,326,855,696,898,841,211,50.5
20_F_1992,여,2020,1208,34,서울/경기/강원,85XL,85F,1597,318,936,796,985,844,230,58.7
20_F_1993,여,2020,1208,30,서울/경기/강원,80L,75F,1595,340,855,721,920,880,233,54.1
20_F_1994,여,2020,1208,35,서울/경기/강원,85XL,80F,1612,310,894,731,920,844,235,54.5
20_F_1995,여,2020,1208,37,서울/경기/강원,80L,80F,1649,337,885,715,956,868,239,57.8
20_F_1996,여,2020,1208,25,서울/경기/강원,80L,75F,1548,307,896,730,910,835,227,53.2
20_F_1997,여,2020,1208,27,서울/경기/강원,902XL,85F,1646,333,941,808,1034,896,240,67
